ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
EXICK14,EXICK14.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1REX0F0001,ACTIVA
EXICPI18,EXICPI18.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1REX0I0008,ACTIVA
EXICPI19,EXICPI19.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,,ACTIVA
F1CC15,F1CC15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RF1000003,ACTIVA
FANVIPI23,FANVIPI23.MX,NO,,"HSBC MEXICO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO HSBC",BIVA,Acción,MX1RFA0E0007,ACTIVA
FCICK16,FCICK16.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFC070005,ACTIVA
FEMSAUBD,FEMSAUBD.MX,SI,193.63,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V.",BMV,Acción,MXP320321310,ACTIVA
FEMSAUB,FEMSAUB.MX,SI,159.0,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V.",BMV,Acción,MXP320321211,ACTIVA
FFBANCK18,FFBANCK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFF050004,ACTIVA
FFLA1CK15,FFLA1CK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFF010008,ACTIVA
FFLA2CK15,FFLA2CK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFF020007,ACTIVA
